Subcorp	\Filename	ID	Start	End	Text	Comment	Role	ParentID	doc_completeness	correction	Correction	eror	leksikal	gramatikal	ejaan	lainnya	kata	ungkapan	noms	prons	gols	adjs	preps	vrbs	konjs	ktas	ktinf	ktvar	ukpa	ukps	frasa-nomina	frasa-adjektiva	frasa-preposisi	frasa-verba	konjungsi	kalimat	urtfn	nomafx	nom0	nomx	nomj	nomr	pron0	pronx	nyaitu	nya0	nyax	yg0	urtfaj	prep0	prepx	vrbpas	vrbafx	vrb0	vrbx	konj0	konjx	kalsub	kalobj	kalbel	kalpen	ejk	ejtb	ejsp	ejhrf	lain
KUIS	KUIS2022NAMI3.txt	65	10	19	berbicara						bercerita	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KUIS	KUIS2022NAMI3.txt	66	263	266	itu						nya	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KUIS	KUIS2022NAMI3.txt	67	293	307	awalnya tetapi						awalnya, tetapi	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
KUIS	KUIS2022NAMI3.txt	68	335	344	Jadi saya						Jadi, saya	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
KUIS	KUIS2022NAMI3.txt	71	377	382	Namun							1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KUIS	KUIS2022NAMI3.txt	70	403	412	film, dan						film dan	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
KUIS	KUIS2022NAMI3.txt	72	463	466	Dan						Selain itu,	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KUIS	KUIS2022NAMI3.txt	73	500	505	buruk						tidak enak	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KUIS	KUIS2022NAMI3.txt	74	653	661	Kemudian							1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KUIS	KUIS2022NAMI3.txt	75	839	845	mereka						semuanya itu	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KUIS	KUIS2022NAMI3.txt	76	914	917	itu						nya	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KUIS	KUIS2022NAMI3.txt	77	943	947	Anda						Dia	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
